???Ingress Industrial (Thailand) PCL (INGRS) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,0.43,1.07,0.42,0.93,"25,870,150"
12/31/2020,0.53,0.55,0.24,0.43,???
12/31/2019,0.61,0.79,0.51,0.53,???
12/31/2018,1.11,1.34,0.54,0.61,???
12/29/2017,1.50,1.56,1.07,1.11,"56,436,075"
08/09/2017,1.50,1.54,1.41,1.41,"1,421,710,200"
