???Applied DB PCL (ADB) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,0.90,2.46,0.88,2.22,"26,194,033"
12/31/2020,0.59,0.96,0.27,0.90,???
12/31/2019,0.72,1.00,0.45,0.59,???
12/31/2018,1.20,1.68,0.72,0.72,???
12/29/2017,3.36,3.36,1.19,1.20,"14,849,350"
11/09/2017,3.36,3.36,1.78,1.96,"779,475,400"
